Date,Price,Open,High,Low,Vol.,Change %,stock_name
"Mar 07, 2025","42,801.72","42,503.07","42,898.68","42,175.62",763.44M,+0.52%,Dow Jones
"Mar 06, 2025","42,579.08","42,848.49","42,970.49","42,381.56",643.88M,-0.99%,Dow Jones
"Mar 05, 2025","43,006.59","42,518.37","43,135.92","42,418.73",582.35M,+1.14%,Dow Jones
"Mar 04, 2025","42,520.99","43,040.30","43,084.00","42,347.75",815.78M,-1.55%,Dow Jones
"Mar 03, 2025","43,191.24","43,900.49","44,033.78","42,919.31",731.57M,-1.48%,Dow Jones
"Feb 28, 2025","43,840.91","43,259.84","43,873.55","43,100.87",798.30M,+1.39%,Dow Jones
"Feb 27, 2025","43,239.50","43,516.44","43,884.19","43,224.53",739.63M,-0.45%,Dow Jones
"Feb 26, 2025","43,433.12","43,635.42","43,866.50","43,318.93",590.27M,-0.43%,Dow Jones
"Feb 25, 2025","43,621.16","43,509.74","43,767.74","43,282.98",650.49M,+0.37%,Dow Jones
"Feb 24, 2025","43,461.21","43,493.12","43,699.15","43,343.67",615.50M,+0.08%,Dow Jones
"Feb 21, 2025","43,428.02","43,820.13","43,959.73","43,349.33",622.55M,-1.69%,Dow Jones
"Feb 20, 2025","44,176.65","44,561.11","44,561.11","43,950.16",448.50M,-1.01%,Dow Jones
"Feb 19, 2025","44,627.59","44,478.12","44,636.19","44,312.65",438.89M,+0.16%,Dow Jones
"Feb 18, 2025","44,556.34","44,583.91","44,602.02","44,319.32",551.80M,+0.02%,Dow Jones
"Feb 14, 2025","44,546.08","44,720.99","44,769.05","44,498.96",474.57M,-0.37%,Dow Jones
"Feb 13, 2025","44,711.43","44,425.94","44,768.26","44,366.62",513.96M,+0.77%,Dow Jones
"Feb 12, 2025","44,368.56","44,357.70","44,467.21","44,104.48",444.48M,-0.50%,Dow Jones
"Feb 11, 2025","44,593.65","44,401.38","44,640.60","44,319.51",453.44M,+0.28%,Dow Jones
"Feb 10, 2025","44,470.41","44,396.92","44,622.19","44,301.42",494.60M,+0.38%,Dow Jones
"Mar 07, 2025","5,770.20","5,726.01","5,783.01","5,666.29",,+0.55%,S&P 500
"Mar 06, 2025","5,738.52","5,785.87","5,812.08","5,711.64",,-1.78%,S&P 500
"Mar 05, 2025","5,842.63","5,781.36","5,860.59","5,742.35",,+1.12%,S&P 500
"Mar 04, 2025","5,778.15","5,811.98","5,865.08","5,732.59",,-1.22%,S&P 500
"Mar 03, 2025","5,849.72","5,968.33","5,986.09","5,810.91",,-1.76%,S&P 500
"Feb 28, 2025","5,954.50","5,856.74","5,959.40","5,837.66",,+1.59%,S&P 500
"Feb 27, 2025","5,861.57","5,981.88","5,993.69","5,858.78",,-1.59%,S&P 500
"Feb 26, 2025","5,956.06","5,970.87","6,009.82","5,932.69",,+0.01%,S&P 500
"Feb 25, 2025","5,955.25","5,982.73","5,992.65","5,908.49",,-0.47%,S&P 500
"Feb 24, 2025","5,983.25","6,026.69","6,043.65","5,977.83",,-0.50%,S&P 500
"Feb 21, 2025","6,013.13","6,114.10","6,114.82","6,008.56",,-1.71%,S&P 500
"Feb 20, 2025","6,117.52","6,134.50","6,134.50","6,084.59",,-0.43%,S&P 500
"Feb 19, 2025","6,144.15","6,117.76","6,147.43","6,111.15",,+0.24%,S&P 500
"Feb 18, 2025","6,129.58","6,121.60","6,129.63","6,099.51",,+0.24%,S&P 500
"Feb 14, 2025","6,114.63","6,115.52","6,127.47","6,107.62",,-0.01%,S&P 500
"Feb 13, 2025","6,115.07","6,060.59","6,116.91","6,050.95",,+1.04%,S&P 500
"Feb 12, 2025","6,051.97","6,025.08","6,063.00","6,003.00",,-0.27%,S&P 500
"Feb 11, 2025","6,068.50","6,049.32","6,076.28","6,042.34",,+0.03%,S&P 500
"Feb 10, 2025","6,066.44","6,046.40","6,073.38","6,044.84",,+0.67%,S&P 500
"Mar 07, 2025","18,196.22","18,029.85","18,243.58","17,768.59",1.44B,+0.70%,Nasdaq
"Mar 06, 2025","18,069.26","18,204.53","18,439.24","17,980.39",1.45B,-2.61%,Nasdaq
"Mar 05, 2025","18,552.73","18,312.96","18,604.47","18,144.73",1.38B,+1.46%,Nasdaq
"Mar 04, 2025","18,285.16","18,176.43","18,589.49","17,956.60",1.65B,-0.35%,Nasdaq
"Mar 03, 2025","18,350.19","18,923.36","18,992.30","18,216.63",1.56B,-2.64%,Nasdaq
"Feb 28, 2025","18,847.28","18,477.17","18,861.33","18,372.99",1.96B,+1.63%,Nasdaq
"Feb 27, 2025","18,544.42","19,212.36","19,242.69","18,535.22",1.47B,-2.78%,Nasdaq
"Feb 26, 2025","19,075.26","19,109.32","19,286.02","18,966.46",1.32B,+0.26%,Nasdaq
"Feb 25, 2025","19,026.39","19,242.61","19,256.35","18,871.52",1.51B,-1.35%,Nasdaq
"Feb 24, 2025","19,286.93","19,590.85","19,644.23","19,275.46",1.46B,-1.21%,Nasdaq
"Feb 21, 2025","19,524.01","20,006.69","20,016.66","19,510.91",1.55B,-2.20%,Nasdaq
"Feb 20, 2025","19,962.36","20,029.19","20,041.15","19,795.02",1.29B,-0.47%,Nasdaq
"Feb 19, 2025","20,056.25","19,994.50","20,099.39","19,928.89",1.36B,+0.07%,Nasdaq
"Feb 18, 2025","20,041.26","20,090.55","20,110.12","19,909.74",1.49B,+0.07%,Nasdaq
"Feb 14, 2025","20,026.77","19,956.82","20,045.76","19,932.15",1.36B,+0.41%,Nasdaq
"Feb 13, 2025","19,945.64","19,696.92","19,952.17","19,675.87",1.40B,+1.50%,Nasdaq
"Feb 12, 2025","19,649.95","19,436.51","19,682.51","19,415.48",1.33B,+0.03%,Nasdaq
"Feb 11, 2025","19,643.86","19,602.11","19,731.93","19,579.77",1.31B,-0.36%,Nasdaq
"Feb 10, 2025","19,714.27","19,668.18","19,772.04","19,650.79",1.34B,+0.98%,Nasdaq
"Mar 07, 2025","2,074.10","2,062.80","2,085.40","2,031.90",,+0.37%,Small Cap 2000
"Mar 06, 2025","2,066.55","2,081.57","2,093.39","2,055.42",,-1.63%,Small Cap 2000
"Mar 05, 2025","2,100.75","2,080.49","2,102.95","2,066.15",,+1.02%,Small Cap 2000
"Mar 04, 2025","2,079.53","2,083.70","2,112.10","2,048.01",,-1.08%,Small Cap 2000
"Mar 03, 2025","2,102.24","2,168.02","2,173.57","2,092.17",,-2.81%,Small Cap 2000
"Feb 28, 2025","2,163.07","2,135.59","2,163.23","2,126.08",,+1.09%,Small Cap 2000
"Feb 27, 2025","2,139.66","2,175.13","2,177.79","2,139.41",,-1.59%,Small Cap 2000
"Feb 26, 2025","2,174.17","2,175.44","2,199.92","2,166.86",,+0.19%,Small Cap 2000
"Feb 25, 2025","2,170.08","2,180.47","2,184.76","2,154.35",,-0.38%,Small Cap 2000
"Feb 24, 2025","2,178.27","2,200.71","2,202.06","2,169.54",,-0.78%,Small Cap 2000
"Feb 21, 2025","2,195.35","2,275.96","2,282.63","2,194.11",,-2.94%,Small Cap 2000
"Feb 20, 2025","2,261.74","2,280.30","2,280.30","2,250.11",,-0.91%,Small Cap 2000
"Feb 19, 2025","2,282.46","2,278.29","2,288.75","2,273.63",,-0.34%,Small Cap 2000
"Feb 18, 2025","2,290.35","2,281.56","2,294.59","2,277.17",,+0.45%,Small Cap 2000
"Feb 14, 2025","2,279.98","2,287.85","2,297.71","2,276.63",,-0.10%,Small Cap 2000
"Feb 13, 2025","2,282.18","2,264.83","2,282.42","2,259.07",,+1.17%,Small Cap 2000
"Feb 12, 2025","2,255.89","2,250.71","2,262.57","2,240.51",,-0.87%,Small Cap 2000
"Feb 11, 2025","2,275.70","2,278.16","2,282.21","2,270.89",,-0.53%,Small Cap 2000
"Feb 10, 2025","2,287.94","2,289.38","2,294.71","2,281.65",,+0.36%,Small Cap 2000
"Mar 10, 2025",25.51,24.70,25.94,24.68,,+9.16%,S&P 500 VIX
"Mar 07, 2025",23.37,24.85,26.56,23.09,,-6.03%,S&P 500 VIX
"Mar 06, 2025",24.87,22.60,25.92,22.39,,+13.41%,S&P 500 VIX
"Mar 05, 2025",21.93,23.03,24.84,21.37,,-6.72%,S&P 500 VIX
"Mar 04, 2025",23.51,22.96,26.35,21.71,,+3.20%,S&P 500 VIX
"Mar 03, 2025",22.78,19.83,24.31,19.25,,+16.05%,S&P 500 VIX
"Feb 28, 2025",19.63,21.21,22.40,19.05,,-7.10%,S&P 500 VIX
"Feb 27, 2025",21.13,18.25,21.47,17.67,,+10.63%,S&P 500 VIX
"Feb 26, 2025",19.10,18.96,20.06,17.83,,-1.70%,S&P 500 VIX
"Feb 25, 2025",19.43,19.09,21.48,18.85,,+2.37%,S&P 500 VIX
"Feb 24, 2025",18.98,18.08,20.24,17.31,,+4.23%,S&P 500 VIX
"Feb 21, 2025",18.21,15.63,19.03,15.28,,+16.28%,S&P 500 VIX
"Feb 20, 2025",15.66,15.61,16.63,15.12,,+2.55%,S&P 500 VIX
"Feb 19, 2025",15.27,15.14,15.96,15.05,,-0.52%,S&P 500 VIX
"Feb 18, 2025",15.35,15.57,16.03,15.35,,-0.13%,S&P 500 VIX
"Feb 17, 2025",15.37,15.38,15.57,15.34,,+4.06%,S&P 500 VIX
"Feb 14, 2025",14.77,15.08,15.42,14.74,,-2.19%,S&P 500 VIX
"Feb 13, 2025",15.10,15.97,16.33,14.98,,-4.97%,S&P 500 VIX
"Feb 12, 2025",15.89,15.91,17.18,15.64,,-0.81%,S&P 500 VIX
"Feb 11, 2025",16.02,16.13,16.42,15.75,,+1.33%,S&P 500 VIX
"Feb 10, 2025",15.81,16.58,16.61,15.70,,-4.41%,S&P 500 VIX
"Mar 07, 2025","24,758.76","24,547.23","24,825.41","24,458.47",301.44M,+0.71%,S&P/TSX
"Mar 06, 2025","24,584.04","24,735.02","24,828.35","24,476.47",332.96M,-1.15%,S&P/TSX
"Mar 05, 2025","24,870.82","24,555.92","24,881.75","24,548.99",323.16M,+1.22%,S&P/TSX
"Mar 04, 2025","24,572.00","24,862.19","24,862.19","24,344.84",350.24M,-1.72%,S&P/TSX
"Mar 03, 2025","25,001.57","25,411.58","25,559.51","24,885.70",340.86M,-1.54%,S&P/TSX
"Feb 28, 2025","25,393.45","25,096.20","25,393.68","25,012.75",450.78M,+1.06%,S&P/TSX
"Feb 27, 2025","25,128.24","25,366.17","25,417.52","25,128.24",275.14M,-0.79%,S&P/TSX
"Feb 26, 2025","25,328.36","25,240.79","25,441.73","25,208.66",228.35M,+0.49%,S&P/TSX
"Feb 25, 2025","25,203.98","25,146.98","25,258.31","24,946.06",292.38M,+0.21%,S&P/TSX
"Feb 24, 2025","25,151.26","25,157.48","25,255.92","25,020.03",247.22M,+0.02%,S&P/TSX
"Feb 21, 2025","25,147.03","25,538.83","25,538.83","25,126.74",263.24M,-1.44%,S&P/TSX
"Feb 20, 2025","25,514.08","25,617.17","25,632.63","25,436.88",267.03M,-0.44%,S&P/TSX
"Feb 19, 2025","25,626.16","25,605.70","25,635.50","25,439.39",233.79M,-0.09%,S&P/TSX
"Feb 18, 2025","25,648.84","25,510.93","25,668.94","25,423.95",289.91M,+0.65%,S&P/TSX
"Feb 14, 2025","25,483.23","25,700.87","25,701.27","25,470.77",226.49M,-0.84%,S&P/TSX
"Feb 13, 2025","25,698.51","25,579.30","25,713.29","25,579.30",203.03M,+0.53%,S&P/TSX
"Feb 12, 2025","25,563.11","25,503.34","25,625.27","25,453.93",210.48M,-0.27%,S&P/TSX
"Feb 11, 2025","25,631.83","25,634.34","25,672.90","25,480.33",224.69M,-0.11%,S&P/TSX
"Feb 10, 2025","25,658.86","25,562.84","25,720.63","25,562.84",275.56M,+0.85%,S&P/TSX
"Mar 07, 2025","125,035","123,357","125,822","122,530",9.98B,+1.36%,Bovespa
"Mar 07, 2025","125,035","123,357","125,822","122,530",9.98B,+1.36%,Bovespa
"Mar 06, 2025","123,358","123,048","124,112","122,681",10.06B,+0.25%,Bovespa
"Mar 06, 2025","123,358","123,048","124,112","122,681",10.06B,+0.25%,Bovespa
"Mar 05, 2025","123,047","122,799","123,364","122,747",9.60B,+0.20%,Bovespa
"Mar 05, 2025","123,047","122,799","123,364","122,747",9.60B,+0.20%,Bovespa
"Feb 28, 2025","122,799","124,798","124,916","122,659",24.87B,-1.60%,Bovespa
"Feb 28, 2025","122,799","124,798","124,916","122,659",24.87B,-1.60%,Bovespa
"Feb 27, 2025","124,799","124,768","125,497","124,352",12.55B,+0.02%,Bovespa
"Feb 27, 2025","124,799","124,768","125,497","124,352",12.55B,+0.02%,Bovespa
"Feb 26, 2025","124,769","125,980","126,563","124,732",11.36B,-0.96%,Bovespa
"Feb 26, 2025","124,769","125,980","126,563","124,732",11.36B,-0.96%,Bovespa
"Feb 25, 2025","125,980","125,401","126,718","125,382",11.08B,+0.46%,Bovespa
"Feb 25, 2025","125,980","125,401","126,718","125,382",11.08B,+0.46%,Bovespa
"Feb 24, 2025","125,401","127,129","127,275","125,162",10.15B,-1.36%,Bovespa
"Feb 24, 2025","125,401","127,129","127,275","125,162",10.15B,-1.36%,Bovespa
"Feb 21, 2025","127,128","127,601","127,654","126,483",11.09B,-0.37%,Bovespa
"Feb 21, 2025","127,128","127,601","127,654","126,483",11.09B,-0.37%,Bovespa
"Feb 20, 2025","127,601","127,309","127,871","127,063",10.64B,+0.23%,Bovespa
"Feb 20, 2025","127,601","127,309","127,871","127,063",10.64B,+0.23%,Bovespa
"Feb 19, 2025","127,309","128,528","128,528","127,028",9.30B,-0.95%,Bovespa
"Feb 19, 2025","127,309","128,528","128,528","127,028",9.30B,-0.95%,Bovespa
"Feb 18, 2025","128,532","128,553","129,294","128,012",10.99B,+2.80%,Bovespa
"Feb 18, 2025","128,532","128,553","129,294","128,012",10.99B,-0.02%,Bovespa
"Feb 17, 2025","128,552","128,229","129,534","128,229",9.97B,+0.26%,Bovespa
"Feb 14, 2025","128,219","124,849","128,482","124,849",12.56B,+2.70%,Bovespa
"Feb 13, 2025","124,850","124,372","124,853","123,778",9.05B,+0.38%,Bovespa
"Feb 12, 2025","124,380","126,513","126,513","124,116",14.63B,-1.69%,Bovespa
"Feb 11, 2025","126,522","125,571","126,886","125,570",11.24B,+0.76%,Bovespa
"Feb 10, 2025","125,572","124,619","126,386","124,619",8.91B,+0.76%,Bovespa
"Mar 07, 2025","52,839.63","52,758.92","52,901.23","51,839.15",190.65M,+0.04%,S&P/BMV IPC
"Mar 06, 2025","52,816.43","52,709.20","53,372.67","52,392.54",245.44M,+0.20%,S&P/BMV IPC
"Mar 05, 2025","52,709.40","52,421.39","52,748.85","52,276.75",200.90M,+0.62%,S&P/BMV IPC
"Mar 04, 2025","52,384.72","51,938.91","52,690.73","50,964.73",262.43M,+0.58%,S&P/BMV IPC
"Mar 03, 2025","52,081.59","52,259.49","53,372.92","52,010.74",177.88M,-0.47%,S&P/BMV IPC
"Feb 28, 2025","52,325.73","52,665.44","52,893.30","52,235.22",484.86M,-0.54%,S&P/BMV IPC
"Feb 27, 2025","52,607.61","53,434.32","53,446.35","52,333.76",239.11M,-1.29%,S&P/BMV IPC
"Feb 26, 2025","53,296.71","53,090.25","53,475.74","52,830.83",237.11M,+0.46%,S&P/BMV IPC
"Feb 25, 2025","53,050.33","53,771.52","53,771.52","52,888.85",225.73M,-1.22%,S&P/BMV IPC
"Feb 24, 2025","53,704.45","53,784.45","53,980.45","53,250.30",153.02M,-0.06%,S&P/BMV IPC
"Feb 21, 2025","53,738.75","54,310.00","54,382.21","53,462.90",92.88M,-1.04%,S&P/BMV IPC
"Feb 20, 2025","54,303.93","54,118.46","54,506.94","53,824.12",136.03M,+0.36%,S&P/BMV IPC
"Feb 19, 2025","54,110.21","54,426.58","54,477.09","53,977.42",230.80M,-0.67%,S&P/BMV IPC
"Feb 18, 2025","54,476.74","54,294.83","54,670.85","53,972.18",170.28M,+0.34%,S&P/BMV IPC
"Feb 17, 2025","54,291.64","54,068.05","54,349.95","53,762.36",25.45M,+0.40%,S&P/BMV IPC
